"","player_class","Luck","Improvement"
"1","DRUID","0xlucky",-0.052147569006979
"2","DRUID","1xLucky",0.0307486195447507
"3","DRUID","2xLucky",0.0850260102070153
"4","HUNTER","0xlucky",-0.0516198077708482
"5","HUNTER","1xLucky",0.0243279439041282
"6","HUNTER","2xLucky",0.0854690460261657
"7","MAGE","0xlucky",-0.0416814134304209
"8","MAGE","1xLucky",0.0253982195518785
"9","MAGE","2xLucky",0.0742992178467973
"10","PALADIN","0xlucky",-0.0448152359634268
"11","PALADIN","1xLucky",0.0315536459006102
"12","PALADIN","2xLucky",0.0682485637863143
"13","PRIEST","0xlucky",-0.036342655681826
"14","PRIEST","1xLucky",0.0294571245790223
"15","PRIEST","2xLucky",0.0553476092449137
"16","ROGUE","0xlucky",-0.0563447411958797
"17","ROGUE","1xLucky",0.0284053573437922
"18","ROGUE","2xLucky",0.0999714769634801
"19","SHAMAN","0xlucky",-0.0597165433738082
"20","SHAMAN","1xLucky",0.0303404567123046
"21","SHAMAN","2xLucky",0.118605172106441
"22","WARLOCK","0xlucky",-0.0569391064039321
"23","WARLOCK","1xLucky",0.0208348482365319
"24","WARLOCK","2xLucky",0.109378970252621
"25","WARRIOR","0xlucky",-0.03188364813446
"26","WARRIOR","1xLucky",0.0188632720299198
"27","WARRIOR","2xLucky",0.0580271862067132
